timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/06/13 19:40:05.639, NVIDIA GeForce RTX 5090, 0 MiB, 32607 MiB, 0 %
2026/06/13 19:40:10.647, NVIDIA GeForce RTX 5090, 1599 MiB, 32607 MiB, 0 %
2026/06/13 19:40:15.647, NVIDIA GeForce RTX 5090, 4719 MiB, 32607 MiB, 0 %
2026/06/13 19:40:20.648, NVIDIA GeForce RTX 5090, 4719 MiB, 32607 MiB, 0 %
2026/06/13 19:40:25.648, NVIDIA GeForce RTX 5090, 4719 MiB, 32607 MiB, 0 %
2026/06/13 19:40:30.649, NVIDIA GeForce RTX 5090, 4719 MiB, 32607 MiB, 0 %
2026/06/13 19:40:35.649, NVIDIA GeForce RTX 5090, 4719 MiB, 32607 MiB, 0 %
2026/06/13 19:40:40.650, NVIDIA GeForce RTX 5090, 4719 MiB, 32607 MiB, 0 %
2026/06/13 19:40:45.651, NVIDIA GeForce RTX 5090, 5199 MiB, 32607 MiB, 0 %
2026/06/13 19:40:50.651, NVIDIA GeForce RTX 5090, 5199 MiB, 32607 MiB, 0 %
2026/06/13 19:40:55.652, NVIDIA GeForce RTX 5090, 5199 MiB, 32607 MiB, 0 %
2026/06/13 19:41:00.652, NVIDIA GeForce RTX 5090, 5199 MiB, 32607 MiB, 0 %
2026/06/13 19:41:05.653, NVIDIA GeForce RTX 5090, 5199 MiB, 32607 MiB, 0 %
2026/06/13 19:41:10.654, NVIDIA GeForce RTX 5090, 5199 MiB, 32607 MiB, 0 %
2026/06/13 19:41:15.654, NVIDIA GeForce RTX 5090, 5199 MiB, 32607 MiB, 0 %
2026/06/13 19:41:20.655, NVIDIA GeForce RTX 5090, 5199 MiB, 32607 MiB, 0 %
2026/06/13 19:41:25.656, NVIDIA GeForce RTX 5090, 5199 MiB, 32607 MiB, 0 %
2026/06/13 19:41:30.656, NVIDIA GeForce RTX 5090, 5199 MiB, 32607 MiB, 0 %
2026/06/13 19:41:35.657, NVIDIA GeForce RTX 5090, 5199 MiB, 32607 MiB, 0 %
