timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/06/13 18:23:16.845, NVIDIA GeForce RTX 5090, 0 MiB, 32607 MiB, 0 %
2026/06/13 18:23:21.849, NVIDIA GeForce RTX 5090, 1479 MiB, 32607 MiB, 1 %
2026/06/13 18:23:26.850, NVIDIA GeForce RTX 5090, 4113 MiB, 32607 MiB, 0 %
2026/06/13 18:23:31.851, NVIDIA GeForce RTX 5090, 5547 MiB, 32607 MiB, 80 %
2026/06/13 18:23:36.851, NVIDIA GeForce RTX 5090, 6415 MiB, 32607 MiB, 88 %
2026/06/13 18:23:41.852, NVIDIA GeForce RTX 5090, 6577 MiB, 32607 MiB, 96 %
2026/06/13 18:23:46.853, NVIDIA GeForce RTX 5090, 6577 MiB, 32607 MiB, 85 %
2026/06/13 18:23:51.854, NVIDIA GeForce RTX 5090, 6577 MiB, 32607 MiB, 84 %
2026/06/13 18:23:56.854, NVIDIA GeForce RTX 5090, 7739 MiB, 32607 MiB, 84 %
2026/06/13 18:24:01.855, NVIDIA GeForce RTX 5090, 7739 MiB, 32607 MiB, 82 %
2026/06/13 18:24:06.855, NVIDIA GeForce RTX 5090, 7739 MiB, 32607 MiB, 89 %
2026/06/13 18:24:11.856, NVIDIA GeForce RTX 5090, 7739 MiB, 32607 MiB, 87 %
2026/06/13 18:24:16.857, NVIDIA GeForce RTX 5090, 7739 MiB, 32607 MiB, 92 %
2026/06/13 18:24:21.857, NVIDIA GeForce RTX 5090, 7739 MiB, 32607 MiB, 76 %
2026/06/13 18:24:26.858, NVIDIA GeForce RTX 5090, 7739 MiB, 32607 MiB, 78 %
2026/06/13 18:24:31.858, NVIDIA GeForce RTX 5090, 7739 MiB, 32607 MiB, 90 %
2026/06/13 18:24:36.859, NVIDIA GeForce RTX 5090, 7739 MiB, 32607 MiB, 96 %
2026/06/13 18:24:41.859, NVIDIA GeForce RTX 5090, 7739 MiB, 32607 MiB, 77 %
2026/06/13 18:24:46.860, NVIDIA GeForce RTX 5090, 7739 MiB, 32607 MiB, 95 %
2026/06/13 18:24:51.860, NVIDIA GeForce RTX 5090, 7739 MiB, 32607 MiB, 96 %
2026/06/13 18:24:56.861, NVIDIA GeForce RTX 5090, 7739 MiB, 32607 MiB, 74 %
2026/06/13 18:25:01.862, NVIDIA GeForce RTX 5090, 7739 MiB, 32607 MiB, 76 %
2026/06/13 18:25:06.862, NVIDIA GeForce RTX 5090, 7739 MiB, 32607 MiB, 64 %
2026/06/13 18:25:11.863, NVIDIA GeForce RTX 5090, 7739 MiB, 32607 MiB, 78 %
2026/06/13 18:25:16.863, NVIDIA GeForce RTX 5090, 7739 MiB, 32607 MiB, 73 %
2026/06/13 18:25:21.864, NVIDIA GeForce RTX 5090, 7739 MiB, 32607 MiB, 76 %
2026/06/13 18:25:26.865, NVIDIA GeForce RTX 5090, 7739 MiB, 32607 MiB, 58 %
2026/06/13 18:25:31.865, NVIDIA GeForce RTX 5090, 7739 MiB, 32607 MiB, 71 %
2026/06/13 18:25:36.866, NVIDIA GeForce RTX 5090, 6493 MiB, 32607 MiB, 74 %
2026/06/13 18:25:41.866, NVIDIA GeForce RTX 5090, 6493 MiB, 32607 MiB, 78 %
2026/06/13 18:25:46.867, NVIDIA GeForce RTX 5090, 6493 MiB, 32607 MiB, 72 %
2026/06/13 18:25:51.867, NVIDIA GeForce RTX 5090, 6615 MiB, 32607 MiB, 83 %
2026/06/13 18:25:56.869, NVIDIA GeForce RTX 5090, 6637 MiB, 32607 MiB, 65 %
