lr-Adam,step,train/loss_sds,train/grad_norm,train/min_step,train/max_step,train/loss_sparsity,train/loss_opaque,train_params/lambda_sds,train_params/lambda_sparsity,train_params/lambda_opaque,train_params/lambda_orient,epoch
0.001,0,,,,,,,,,,,
,0,7441.052734375,121.99223327636719,20.0,980.0,0.16636857390403748,0.0472448468208313,1.0,0.0005000000237487257,0.0,0.0,0
0.00109,1,,,,,,,,,,,
,1,32095.01953125,253.3575439453125,20.0,980.0,0.14880254864692688,0.036668047308921814,1.0,0.0005000000237487257,0.0,0.0,0
0.00118,2,,,,,,,,,,,
,2,16865.11328125,183.6579132080078,20.0,980.0,0.16614305973052979,0.04697582125663757,1.0,0.0005000000237487257,0.0,0.0,0
0.00127,3,,,,,,,,,,,
,3,6563.86572265625,114.5763168334961,20.0,980.0,0.16470691561698914,0.046461861580610275,1.0,0.0005000000237487257,0.0,0.0,0
0.0013600000000000003,4,,,,,,,,,,,
,4,47064.5390625,306.80462646484375,20.0,980.0,0.16328641772270203,0.04603753983974457,1.0,0.0005000000237487257,0.0,0.0,0
0.0014500000000000003,5,,,,,,,,,,,
,5,13109.796875,161.92465209960938,20.0,980.0,0.22923973202705383,0.08463124930858612,1.0,0.0005000000237487257,0.0,0.0,0
0.0015400000000000001,6,,,,,,,,,,,
,6,11865.16796875,154.04653930664062,20.0,980.0,0.14347195625305176,0.034020133316516876,1.0,0.0005000000237487257,0.0,0.0,0
0.0016300000000000002,7,,,,,,,,,,,
,7,838.017822265625,40.939414978027344,20.0,980.0,0.1902468502521515,0.06160362437367439,1.0,0.0005000000237487257,0.0,0.0,0
0.00172,8,,,,,,,,,,,
,8,11909.84375,154.33627319335938,20.0,980.0,0.2335750162601471,0.08566032350063324,1.0,0.0005000000237487257,0.0,0.0,0
0.0018100000000000002,9,,,,,,,,,,,
,9,485.19293212890625,31.151016235351562,20.0,980.0,0.15126819908618927,0.038115523755550385,1.0,0.0005000000237487257,0.0,0.0,0
0.0019000000000000002,10,,,,,,,,,,,
,10,50373.25,317.4059143066406,20.0,980.0,0.2015380859375,0.06683763861656189,1.0,0.0005000000237487257,0.0,0.0,0
0.00199,11,,,,,,,,,,,
,11,6389.86181640625,113.04743957519531,20.0,980.0,0.1868809163570404,0.05762618035078049,1.0,0.0005000000237487257,0.0,0.0,0
0.0020800000000000003,12,,,,,,,,,,,
,12,8323.572265625,129.0238037109375,20.0,980.0,0.16887514293193817,0.04645375907421112,1.0,0.0005000000237487257,0.0,0.0,0
0.0021700000000000005,13,,,,,,,,,,,
,13,19220.00390625,196.0612335205078,20.0,980.0,0.17977452278137207,0.050386376678943634,1.0,0.0005000000237487257,0.0,0.0,0
0.0022600000000000003,14,,,,,,,,,,,
,14,109.90240478515625,14.825815200805664,20.0,980.0,0.21889880299568176,0.06832902878522873,1.0,0.0005000000237487257,0.0,0.0,0
0.00235,15,,,,,,,,,,,
,15,3229.86962890625,80.37250518798828,20.0,980.0,0.18965548276901245,0.051976680755615234,1.0,0.0005000000237487257,0.0,0.0,0
0.00244,16,,,,,,,,,,,
,16,14685.376953125,171.3789825439453,20.0,980.0,0.6623817682266235,0.4424437880516052,1.0,0.0005000000237487257,0.0,0.0,0
0.0025299999999999997,17,,,,,,,,,,,
,17,52350.69921875,323.575927734375,20.0,980.0,0.4593108594417572,0.3260733485221863,1.0,0.0005000000237487257,0.0,0.0,0
0.00262,18,,,,,,,,,,,
,18,37912.15234375,275.36212158203125,20.0,980.0,0.4992976188659668,0.2897256314754486,1.0,0.0005000000237487257,0.0,0.0,0
0.0027099999999999997,19,,,,,,,,,,,
,19,55440.52734375,332.9880676269531,20.0,980.0,0.410529762506485,0.3030669093132019,1.0,0.0005000000237487257,0.0,0.0,0
0.0027999999999999995,20,,,,,,,,,,,
,20,4417.1435546875,93.99089050292969,20.0,980.0,0.36412936449050903,0.25253617763519287,1.0,0.0005000000237487257,0.0,0.0,0
0.0028899999999999998,21,,,,,,,,,,,
,21,45823.40625,302.73223876953125,20.0,980.0,0.2973509132862091,0.1864119917154312,1.0,0.0005000000237487257,0.0,0.0,0
0.00298,22,,,,,,,,,,,
,22,60.41669464111328,10.992424011230469,20.0,980.0,0.18862269818782806,0.064038947224617,1.0,0.0005000000237487257,0.0,0.0,0
0.0030700000000000002,23,,,,,,,,,,,
,23,25553.01171875,226.06640625,20.0,980.0,0.1579417586326599,0.04228503257036209,1.0,0.0005000000237487257,0.0,0.0,0
0.0031600000000000005,24,,,,,,,,,,,
,24,1086.2354736328125,46.60977554321289,20.0,980.0,0.18296924233436584,0.055579058825969696,1.0,0.0005000000237487257,0.0,0.0,0
0.0032500000000000003,25,,,,,,,,,,,
,25,1233.5806884765625,49.6705322265625,20.0,980.0,0.18026559054851532,0.0551767572760582,1.0,0.0005000000237487257,0.0,0.0,0
0.00334,26,,,,,,,,,,,
,26,24738.66015625,222.43496704101562,20.0,980.0,0.1494085043668747,0.03578938543796539,1.0,0.0005000000237487257,0.0,0.0,0
0.00343,27,,,,,,,,,,,
,27,17922.47265625,189.32760620117188,20.0,980.0,0.18508227169513702,0.05541852116584778,1.0,0.0005000000237487257,0.0,0.0,0
0.0035199999999999997,28,,,,,,,,,,,
,28,14984.623046875,173.11627197265625,20.0,980.0,0.1826574206352234,0.05401437729597092,1.0,0.0005000000237487257,0.0,0.0,0
0.00361,29,,,,,,,,,,,
,29,15093.67578125,173.7450714111328,20.0,980.0,0.15540795028209686,0.03880713880062103,1.0,0.0005000000237487257,0.0,0.0,0
0.0036999999999999997,30,,,,,,,,,,,
,30,26425.181640625,229.89207458496094,20.0,980.0,0.20538364350795746,0.06779386103153229,1.0,0.0005000000237487257,0.0,0.0,0
0.0037899999999999995,31,,,,,,,,,,,
,31,1236.058349609375,49.72038650512695,20.0,980.0,0.1636551320552826,0.043955810368061066,1.0,0.0005000000237487257,0.0,0.0,0
0.0038799999999999993,32,,,,,,,,,,,
,32,599.4559326171875,34.62530517578125,20.0,980.0,0.16387034952640533,0.044910065829753876,1.0,0.0005000000237487257,0.0,0.0,0
0.003969999999999999,33,,,,,,,,,,,
,33,8526.3916015625,130.5863037109375,20.0,980.0,0.22303518652915955,0.08096812665462494,1.0,0.0005000000237487257,0.0,0.0,0
0.0040599999999999985,34,,,,,,,,,,,
,34,40222.46875,283.628173828125,20.0,980.0,0.2242807149887085,0.08894827961921692,1.0,0.0005000000237487257,0.0,0.0,0
0.004149999999999998,35,,,,,,,,,,,
,35,8.02585220336914,4.006458282470703,20.0,980.0,0.3649826645851135,0.2524107098579407,1.0,0.0005000000237487257,0.0,0.0,0
0.004239999999999998,36,,,,,,,,,,,
,36,8093.6669921875,127.22945404052734,20.0,980.0,0.37184369564056396,0.23278328776359558,1.0,0.0005000000237487257,0.0,0.0,0
0.004329999999999998,37,,,,,,,,,,,
,37,41.77470397949219,9.140536308288574,20.0,980.0,0.4215761125087738,0.2893282473087311,1.0,0.0005000000237487257,0.0,0.0,0
0.004419999999999998,38,,,,,,,,,,,
,38,1053.089111328125,45.89311599731445,20.0,980.0,0.48398900032043457,0.24265676736831665,1.0,0.0005000000237487257,0.0,0.0,0
0.0045099999999999975,39,,,,,,,,,,,
,39,5898.0146484375,108.60952758789062,20.0,980.0,0.5109621286392212,0.24134740233421326,1.0,0.0005000000237487257,0.0,0.0,0
0.004599999999999997,40,,,,,,,,,,,
,40,5616.7451171875,105.9881591796875,20.0,980.0,0.409518301486969,0.24944756925106049,1.0,0.0005000000237487257,0.0,0.0,0
0.004689999999999997,41,,,,,,,,,,,
,41,26.659893035888672,7.302039623260498,20.0,980.0,0.6601071357727051,0.2825813591480255,1.0,0.0005000000237487257,0.0,0.0,0
0.004779999999999997,42,,,,,,,,,,,
,42,459.08282470703125,30.30124855041504,20.0,980.0,0.4023715853691101,0.1767178177833557,1.0,0.0005000000237487257,0.0,0.0,0
0.004869999999999997,43,,,,,,,,,,,
,43,19231.5546875,196.12014770507812,20.0,980.0,0.3920569121837616,0.13415750861167908,1.0,0.0005000000237487257,0.0,0.0,0
0.0049599999999999965,44,,,,,,,,,,,
,44,275.5045166015625,23.473581314086914,20.0,980.0,0.613987922668457,0.2182103544473648,1.0,0.0005000000237487257,0.0,0.0,0
0.005049999999999996,45,,,,,,,,,,,
,45,16350.4580078125,180.8339385986328,20.0,980.0,0.618844747543335,0.13682377338409424,1.0,0.0005000000237487257,0.0,0.0,0
0.005139999999999996,46,,,,,,,,,,,
,46,43181.6328125,293.87628173828125,20.0,980.0,0.535662829875946,0.13558322191238403,1.0,0.0005000000237487257,0.0,0.0,0
0.005229999999999996,47,,,,,,,,,,,
,47,31211.080078125,249.84426879882812,20.0,980.0,0.6201386451721191,0.13768254220485687,1.0,0.0005000000237487257,0.0,0.0,0
0.005319999999999997,48,,,,,,,,,,,
,48,42816.6953125,292.6318359375,20.0,980.0,0.9014064073562622,0.04894803464412689,1.0,0.0005000000237487257,0.0,0.0,0
0.005409999999999997,49,,,,,,,,,,,
,49,18127.0234375,190.40496826171875,20.0,980.0,0.710220456123352,0.12568281590938568,1.0,0.0005000000237487257,0.0,0.0,0
0.005499999999999997,50,,,,,,,,,,,
,50,7042.78955078125,118.68268585205078,20.0,980.0,0.7491815090179443,0.13515588641166687,1.0,0.0005000000237487257,0.0,0.0,0
0.005589999999999997,51,,,,,,,,,,,
,51,239.43553161621094,21.883121490478516,20.0,980.0,0.9065872430801392,0.0765635222196579,1.0,0.0005000000237487257,0.0,0.0,0
0.005679999999999997,52,,,,,,,,,,,
,52,15667.96875,177.01959228515625,20.0,980.0,0.9939009547233582,0.03733038902282715,1.0,0.0005000000237487257,0.0,0.0,0
0.0057699999999999965,53,,,,,,,,,,,
,53,138.96917724609375,16.671483993530273,20.0,980.0,0.8432597517967224,0.04539500176906586,1.0,0.0005000000237487257,0.0,0.0,0
0.005859999999999997,54,,,,,,,,,,,
,54,28375.7734375,238.225830078125,20.0,980.0,0.6263744235038757,0.07576539367437363,1.0,0.0005000000237487257,0.0,0.0,0
0.005949999999999996,55,,,,,,,,,,,
,55,16374.724609375,180.96807861328125,20.0,980.0,0.8735114336013794,0.04327724874019623,1.0,0.0005000000237487257,0.0,0.0,0
0.006039999999999996,56,,,,,,,,,,,
,56,12137.505859375,155.8043975830078,20.0,980.0,0.867272675037384,0.07190901786088943,1.0,0.0005000000237487257,0.0,0.0,0
0.006129999999999996,57,,,,,,,,,,,
,57,19379.416015625,196.8726348876953,20.0,980.0,0.7257739901542664,0.0799437165260315,1.0,0.0005000000237487257,0.0,0.0,0
0.0062199999999999955,58,,,,,,,,,,,
,58,196.33816528320312,19.816062927246094,20.0,980.0,0.9288921356201172,0.09586507081985474,1.0,0.0005000000237487257,0.0,0.0,0
0.006309999999999995,59,,,,,,,,,,,
