timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/06/13 08:18:44.568, NVIDIA GeForce RTX 5090, 0 MiB, 32607 MiB, 0 %
2026/06/13 08:18:49.584, NVIDIA GeForce RTX 5090, 509 MiB, 32607 MiB, 0 %
2026/06/13 08:18:54.584, NVIDIA GeForce RTX 5090, 509 MiB, 32607 MiB, 0 %
2026/06/13 08:18:59.585, NVIDIA GeForce RTX 5090, 509 MiB, 32607 MiB, 0 %
2026/06/13 08:19:04.586, NVIDIA GeForce RTX 5090, 509 MiB, 32607 MiB, 0 %
2026/06/13 08:19:09.586, NVIDIA GeForce RTX 5090, 6735 MiB, 32607 MiB, 5 %
2026/06/13 08:19:14.587, NVIDIA GeForce RTX 5090, 6745 MiB, 32607 MiB, 22 %
2026/06/13 08:19:19.587, NVIDIA GeForce RTX 5090, 6745 MiB, 32607 MiB, 22 %
2026/06/13 08:19:24.588, NVIDIA GeForce RTX 5090, 6745 MiB, 32607 MiB, 25 %
2026/06/13 08:19:29.589, NVIDIA GeForce RTX 5090, 6745 MiB, 32607 MiB, 18 %
2026/06/13 08:19:34.589, NVIDIA GeForce RTX 5090, 6745 MiB, 32607 MiB, 19 %
2026/06/13 08:19:39.590, NVIDIA GeForce RTX 5090, 6745 MiB, 32607 MiB, 24 %
2026/06/13 08:19:44.590, NVIDIA GeForce RTX 5090, 6745 MiB, 32607 MiB, 9 %
2026/06/13 08:19:49.591, NVIDIA GeForce RTX 5090, 6745 MiB, 32607 MiB, 9 %
2026/06/13 08:19:54.591, NVIDIA GeForce RTX 5090, 6745 MiB, 32607 MiB, 22 %
2026/06/13 08:19:59.592, NVIDIA GeForce RTX 5090, 6745 MiB, 32607 MiB, 20 %
2026/06/13 08:20:04.593, NVIDIA GeForce RTX 5090, 6745 MiB, 32607 MiB, 13 %
2026/06/13 08:20:09.593, NVIDIA GeForce RTX 5090, 6745 MiB, 32607 MiB, 23 %
2026/06/13 08:20:14.594, NVIDIA GeForce RTX 5090, 6745 MiB, 32607 MiB, 15 %
2026/06/13 08:20:19.594, NVIDIA GeForce RTX 5090, 6745 MiB, 32607 MiB, 29 %
2026/06/13 08:20:24.595, NVIDIA GeForce RTX 5090, 6745 MiB, 32607 MiB, 23 %
2026/06/13 08:20:29.596, NVIDIA GeForce RTX 5090, 6745 MiB, 32607 MiB, 10 %
2026/06/13 08:20:34.596, NVIDIA GeForce RTX 5090, 6745 MiB, 32607 MiB, 23 %
2026/06/13 08:20:39.597, NVIDIA GeForce RTX 5090, 6745 MiB, 32607 MiB, 5 %
2026/06/13 08:20:44.597, NVIDIA GeForce RTX 5090, 6745 MiB, 32607 MiB, 22 %
2026/06/13 08:20:49.598, NVIDIA GeForce RTX 5090, 6745 MiB, 32607 MiB, 20 %
2026/06/13 08:20:54.598, NVIDIA GeForce RTX 5090, 6745 MiB, 32607 MiB, 24 %
2026/06/13 08:20:59.599, NVIDIA GeForce RTX 5090, 6745 MiB, 32607 MiB, 9 %
2026/06/13 08:21:04.599, NVIDIA GeForce RTX 5090, 6745 MiB, 32607 MiB, 21 %
2026/06/13 08:21:09.600, NVIDIA GeForce RTX 5090, 6745 MiB, 32607 MiB, 26 %
2026/06/13 08:21:14.600, NVIDIA GeForce RTX 5090, 6745 MiB, 32607 MiB, 5 %
2026/06/13 08:21:19.601, NVIDIA GeForce RTX 5090, 6745 MiB, 32607 MiB, 20 %
2026/06/13 08:21:24.601, NVIDIA GeForce RTX 5090, 6745 MiB, 32607 MiB, 10 %
2026/06/13 08:21:29.602, NVIDIA GeForce RTX 5090, 6745 MiB, 32607 MiB, 11 %
2026/06/13 08:21:34.604, NVIDIA GeForce RTX 5090, 6745 MiB, 32607 MiB, 25 %
2026/06/13 08:21:39.605, NVIDIA GeForce RTX 5090, 6745 MiB, 32607 MiB, 8 %
