timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/06/13 08:21:43.713, NVIDIA GeForce RTX 5090, 0 MiB, 32607 MiB, 0 %
2026/06/13 08:21:48.718, NVIDIA GeForce RTX 5090, 801 MiB, 32607 MiB, 2 %
2026/06/13 08:21:53.719, NVIDIA GeForce RTX 5090, 1233 MiB, 32607 MiB, 0 %
2026/06/13 08:21:58.719, NVIDIA GeForce RTX 5090, 1233 MiB, 32607 MiB, 0 %
2026/06/13 08:22:03.720, NVIDIA GeForce RTX 5090, 1233 MiB, 32607 MiB, 0 %
2026/06/13 08:22:08.721, NVIDIA GeForce RTX 5090, 1513 MiB, 32607 MiB, 0 %
2026/06/13 08:22:13.721, NVIDIA GeForce RTX 5090, 1513 MiB, 32607 MiB, 0 %
2026/06/13 08:22:18.722, NVIDIA GeForce RTX 5090, 1513 MiB, 32607 MiB, 0 %
2026/06/13 08:22:23.722, NVIDIA GeForce RTX 5090, 1513 MiB, 32607 MiB, 0 %
2026/06/13 08:22:28.723, NVIDIA GeForce RTX 5090, 1513 MiB, 32607 MiB, 0 %
2026/06/13 08:22:33.723, NVIDIA GeForce RTX 5090, 1513 MiB, 32607 MiB, 0 %
2026/06/13 08:22:38.724, NVIDIA GeForce RTX 5090, 1513 MiB, 32607 MiB, 0 %
2026/06/13 08:22:43.725, NVIDIA GeForce RTX 5090, 1513 MiB, 32607 MiB, 0 %
2026/06/13 08:22:48.725, NVIDIA GeForce RTX 5090, 1513 MiB, 32607 MiB, 0 %
2026/06/13 08:22:53.726, NVIDIA GeForce RTX 5090, 1513 MiB, 32607 MiB, 0 %
2026/06/13 08:22:58.726, NVIDIA GeForce RTX 5090, 1513 MiB, 32607 MiB, 0 %
2026/06/13 08:23:03.727, NVIDIA GeForce RTX 5090, 1513 MiB, 32607 MiB, 0 %
